tic,datafqtr,atq,cshoq,niq,prccq
TRMB,2014Q4,3874.348,259.157,55.828,26.54
TRMB,2015Q1,3797.7,259.5,34.1,25.2
TRMB,2015Q2,3780.2,257.3,25.9,23.46
TRMB,2015Q3,3719.9,250,37.1,16.42
TRMB,2015Q4,3680.7,250.7,24,21.45
TRMB,2016Q1,3749.9,251.4,19.8,24.8
TRMB,2016Q2,3751.6,249.2,35.7,24.36
TRMB,2016Q3,3731.4,250.2,39.2,28.56
TRMB,2016Q4,3673.8,251.3,37.7,30.15
TRMB,2017Q1,3897.4,252.6,49.8,32.01
TRMB,2017Q2,4038.3,253.1,47.3,35.67
TRMB,2017Q3,4180.7,251.9,57.2,39.25
TRMB,2017Q4,4298.2,248.9,-35.9,40.64
TRMB,2018Q1,4673.7,248.7,58.5,35.88
TRMB,2018Q2,4858.3,249.9,64.1,32.84
TRMB,2018Q3,5782.2,251.1,73.7,43.46
TRMB,2018Q4,5776.4,250.9,86.5,32.91
TRMB,2019Q1,5920.1,251.5,62.3,40.4
TRMB,2019Q2,5876.1,251.8,94.6,45.11
TRMB,2019Q3,5803.9,249.1,78.1,38.81
TRMB,2019Q4,6640.7,249.9,279.3,41.69
TRMB,2020Q1,6705.7,249.7,61.9,31.83
TRMB,2020Q2,6645,250.2,63,43.19
TRMB,2020Q3,6624.3,250.2,84.7,48.7
TRMB,2020Q4,6876.9,250.8,180.3,66.77
TRMB,2021Q1,6780.5,250.9,114.5,77.79
TRMB,2021Q2,6962.2,251.6,138.9,81.83
TRMB,2021Q3,7003.4,251,124,82.25
TRMB,2021Q4,7099.6,250.9,115.3,87.19
TRMB,2022Q1,7177.4,250.1,110.3,72.14
TRMB,2022Q2,6919.5,247.6,168,58.23
TRMB,2022Q3,7077.7,246.6,85.8,54.27
TRMB,2022Q4,7269,246.9,85.6,50.56
TRMB,2023Q1,8012.9,247.4,128.8,52.42
TRMB,2023Q2,9556.3,248.3,44.6,52.94
TRMB,2023Q3,9330.7,248.8,74.9,53.86
TRMB,2023Q4,9539.3,246.5,63,53.2
TRMB,2024Q1,9321.2,246.5,57.2,64.36
ETSY,2015Q2,529.128,111.892,-6.354,14.05
ETSY,2015Q3,538.621,111.992,-6.891,13.69
ETSY,2015Q4,553.061,112.563,-4.232,8.26
ETSY,2016Q1,549.176,113.012,1.192,8.7
ETSY,2016Q2,550.956,113.673,-7.311,9.59
ETSY,2016Q3,569.201,115.341,-2.399,14.28
ETSY,2016Q4,581.193,115.973,-21.383,11.78
ETSY,2017Q1,530.739,116.268,-0.421,10.63
ETSY,2017Q2,554.317,117.819,11.669,15
ETSY,2017Q3,574.062,121.067,25.802,16.88
ETSY,2017Q4,605.583,121.769,44.75,20.45
ETSY,2018Q1,870.165,119.955,12.967,28.06
ETSY,2018Q2,865.31,119.545,3.379,42.19
ETSY,2018Q3,907.368,120.245,19.894,51.38
ETSY,2018Q4,901.851,119.772,41.251,47.57
ETSY,2019Q1,981.168,119.933,31.579,67.22
ETSY,2019Q2,1021.775,120.336,18.223,61.37
ETSY,2019Q3,1499.198,118.45,14.801,56.5
ETSY,2019Q4,1542.352,118.343,31.291,44.3
